communication_step_s,peak_brake_overshoot_percent,steady_brake_error_percent,stopping_time_s,runtime_s
0.1,16.051540690918884,1.157990046392788,41.6,1.0534930999856442
0.05,7.024608462767537,0.5758612381335478,41.55,1.6930531000252813
0.02,1.9297091214276407,0.09889131535857815,41.52,1.852214999962598
