time,scenario_phase,traction_command,service_brake_request,v_train,acceleration,P_motor_mechanical_signed,P_motor_electrical_signed,P_dc_signed,P_dc_traction,P_dc_regen,P_line,P_transformer_out,F_brake_demand,Fregen_actual,Fmechanical_actual,Ftotal_actual,F_brake_tracking_error,U_pantograph,hv_breaker_state,hv_system_fault,U_transformer_secondary,U_dc_link,P_regen_converter,P_grid_returned,P_brake_resistor,P_ess_dc_input,P_ess_absorbed,SOC_energy,Ucap_equivalent,Icap,Uterminal,E_supercap_kJ,Eregen_stored_kJ
11.6,traction,1.0,0.0,6.093349478347255,0.6386520926390915,363601.87752631493,386810.508006718,392613.84357094,392613.84357094,0.0,413875.19315395167,405727.840063309,0.0,0.0,0.0,0.0,0.0,24993.41147538729,1,0,1499.6089146306203,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.65,traction,1.0,0.0,6.125280215052391,0.6386147341027204,365527.7727733248,388859.3327375796,394704.6000068551,394704.6000068551,0.0,416074.8363295401,407861.2620207702,0.0,0.0,0.0,0.0,0.0,24993.37626061337,1,0,1499.6068015213873,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.7,traction,1.0,0.0,6.15720907414974,0.638577181946971,367453.55786437256,390908.0402812474,396795.23748732614,396795.23748732614,0.0,418274.35568244813,409994.5625957748,0.0,0.0,0.0,0.0,0.0,24993.341047711885,1,0,1499.6046885232372,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.75,traction,1.0,0.0,6.189136045960627,0.6385394362177443,369379.2322253823,392956.6300270025,398885.755389028,398885.755389028,0.0,420473.7505566752,412127.7411522805,0.0,0.0,0.0,0.0,0.0,24993.305836693355,1,0,1499.6025756368022,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.8,traction,1.0,0.0,6.221061120808686,0.6385014969611902,371304.79528240993,395005.1013642659,400976.153088778,400976.153088778,0.0,422673.02029636904,414260.79705438984,0.0,0.0,0.0,0.0,0.0,24993.270627568294,1,0,1499.6004628627131,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.85,traction,1.0,0.0,6.252984289019869,0.6384633642236537,373230.24646164424,397053.4536826003,403066.4299635366,403066.4299635366,0.0,424872.16424582683,416393.7296663518,0.0,0.0,0.0,0.0,0.0,24993.23542034722,1,0,1499.5983502016013,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.9,traction,1.0,0.0,6.284905540922462,0.638425038051853,375155.585189407,399101.68637170957,405156.58539040847,405156.58539040847,0.0,427071.1817494952,418526.5383525625,0.0,0.0,0.0,0.0,0.0,24993.200215040648,1,0,1499.5962376540976,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
11.95,traction,1.0,0.0,6.316824866847089,0.6383865184925419,377080.8108921538,401149.79882144026,407246.61874664243,407246.61874664243,0.0,429270.07215197163,420659.2224775651,0.0,0.0,0.0,0.0,0.0,24993.165011659086,1,0,1499.5941252208331,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.0,traction,1.0,0.0,6.348742257126731,0.6383478055928471,379005.9229964755,403197.79042178247,409336.5294096329,409336.5294096329,0.0,431468.8347980053,422791.78140605136,0.0,0.0,0.0,0.0,0.0,24993.129810213042,1,0,1499.592012902439,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.05,traction,1.0,0.0,6.380657702096732,0.6383088994000197,380930.9209290974,405245.66056286957,411426.3167569209,411426.3167569209,0.0,433667.4690324969,424924.21450286236,0.0,0.0,0.0,0.0,0.0,24993.094610713022,1,0,1499.589900699545,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.1,traction,1.0,0.0,6.412571192094816,0.6382697999616838,382855.8041168813,407293.4086349801,413515.98016619345,413515.98016619345,0.0,435865.9742005003,427056.52113298856,0.0,0.0,0.0,0.0,0.0,24993.05941316953,1,0,1499.5877886127826,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.15,traction,1.0,0.0,6.444482717461095,0.6382305073255701,384780.57198682544,409341.03402853775,415605.5190152858,415605.5190152858,0.0,438064.3496472234,429188.7006615713,0.0,0.0,0.0,0.0,0.0,24993.02421759307,1,0,1499.5856766427812,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.2,traction,1.0,0.0,6.476392268538077,0.6381910215396402,386705.22396606527,411388.536134112,417694.93268218136,417694.93268218136,0.0,440262.59471802827,431320.75245390355,0.0,0.0,0.0,0.0,0.0,24992.989023994134,1,0,1499.5835647901717,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.25,traction,1.0,0.0,6.50829983567069,0.6381513426522645,388629.75948187435,413435.91434241954,419784.2205450122,419784.2205450122,0.0,442460.7087584322,433452.6758754295,0.0,0.0,0.0,0.0,0.0,24992.953832383228,1,0,1499.581453055584,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.3,traction,1.0,0.0,6.540205409206277,0.6381114707117419,390554.17796166445,415483.1680443239,421873.38198206073,421873.38198206073,0.0,444658.6911141088,435584.47029174695,0.0,0.0,0.0,0.0,0.0,24992.91864277084,1,0,1499.579341439648,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.35,traction,1.0,0.0,6.572108979494624,0.6380714057669401,392478.4788329874,417530.2966308377,423962.4163717591,423962.4163717591,0.0,446856.5411308878,437716.1350686068,0.0,0.0,0.0,0.0,0.0,24992.883455167466,1,0,1499.5772299429937,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.4,traction,1.0,0.0,6.60401053688796,0.6380311478667089,394402.66152353416,419577.29949312145,426051.32309269154,426051.32309269154,0.0,449054.2581547573,439847.66957191454,0.0,0.0,0.0,0.0,0.0,24992.848269583592,1,0,1499.5751185662505,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.45,traction,1.0,0.0,6.6359100717409705,0.6379906970602178,396326.725461137,421624.17602248624,428140.1015235933,428140.1015235933,0.0,451251.84153186285,441979.07316773,0.0,0.0,0.0,0.0,0.0,24992.813086029706,1,0,1499.5730073100478,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.5,traction,1.0,0.0,6.667807574410812,0.6379500533968319,398250.67007376906,423670.92561039265,430228.7510433533,430228.7510433533,0.0,453449.2906085097,444110.3452222702,0.0,0.0,0.0,0.0,0.0,24992.777904516293,1,0,1499.5708961750154,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.55,traction,1.0,0.0,6.699703035257124,0.6379092169262357,400174.4947895455,425717.5476484527,432317.27103101293,432317.27103101293,0.0,455646.60473116225,446241.4851019071,0.0,0.0,0.0,0.0,0.0,24992.742725053835,1,0,1499.5687851617822,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.6,traction,1.0,0.0,6.731596444642037,0.6378681876982562,402098.1990367242,427764.04152843007,434405.66086576803,434405.66086576803,0.0,457843.7832464466,448372.4921731708,0.0,0.0,0.0,0.0,0.0,24992.707547652815,1,0,1499.5666742709775,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.65,traction,1.0,0.0,6.763487792930185,0.6378269657629687,404021.7822437064,429810.4066422409,436493.91992696945,436493.91992696945,0.0,460040.82550114905,450503.36580274923,0.0,0.0,0.0,0.0,0.0,24992.67237232371,1,0,1499.5645635032301,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.7,traction,1.0,0.0,6.795377070488721,0.6377855511707153,405945.2438390373,431856.6423819546,438582.04759412335,438582.04759412335,0.0,462237.73084221856,452634.1053574888,0.0,0.0,0.0,0.0,0.0,24992.637199076988,1,0,1499.5624528591688,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.75,traction,1.0,0.0,6.827264267687322,0.6377439439720156,407868.5832514064,433902.74813979404,440670.04324689246,440670.04324689246,0.0,464434.4986167668,454764.710204396,0.0,0.0,0.0,0.0,0.0,24992.602027923127,1,0,1499.5603423394225,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.8,traction,1.0,0.0,6.8591493748982035,0.6377021442176378,409791.7999096489,435948.72330813715,442757.906265096,442757.906265096,0.0,466631.1281720691,456895.1797106366,0.0,0.0,0.0,0.0,0.0,24992.566858872597,1,0,1499.5582319446191,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.85,traction,1.0,0.0,6.891032382496136,0.6376601519586522,411714.8932427457,437994.5672795167,444845.6360287114,444845.6360287114,0.0,468827.6188555655,459025.5132435382,0.0,0.0,0.0,0.0,0.0,24992.531691935867,1,0,1499.5561216753877,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.9,traction,1.0,0.0,6.92291328085845,0.6376179672462712,413637.8626798245,440040.27944662183,446933.2319178742,446933.2319178742,0.0,471023.9700148606,461155.7101705894,0.0,0.0,0.0,0.0,0.0,24992.496527123396,1,0,1499.5540115323558,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
12.95,traction,1.0,0.0,6.954792060365045,0.6375755901319025,415560.7076501604,442085.85920229834,449020.6933128794,449020.6933128794,0.0,473220.18099772534,463285.76985944173,0.0,0.0,0.0,0.0,0.0,24992.461364445655,1,0,1499.551901516152,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.0,traction,1.0,0.0,6.986668711398409,0.6375330206672913,417483.4275831762,444131.3059395492,451108.01959418197,451108.01959418197,0.0,475416.2511520972,465415.69167790975,0.0,0.0,0.0,0.0,0.0,24992.426203913095,1,0,1499.5497916274037,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.05,traction,1.0,0.0,7.01854322434363,0.637490258904414,419406.02190844313,446176.61905153526,453195.21014239715,453195.21014239715,0.0,477612.179826081,467545.4749939718,0.0,0.0,0.0,0.0,0.0,24992.39104553618,1,0,1499.5476818667391,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.1,traction,1.0,0.0,7.050415589588396,0.6374473048953178,421328.4900556822,448221.79793157685,455282.2643383013,455282.2643383013,0.0,479807.9663679501,469675.11917577055,0.0,0.0,0.0,0.0,0.0,24992.35588932536,1,0,1499.5455722347856,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.15,traction,1.0,0.0,7.082285797523018,0.6374041586924406,423250.83145476424,450266.84197315347,457369.18156283355,457369.18156283355,0.0,482003.6101261467,471804.6235916146,0.0,0.0,0.0,0.0,0.0,24992.320735291094,1,0,1499.5434627321708,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.2,traction,1.0,0.0,7.114153838540441,0.6373608203484515,425173.04553571047,452311.7505699048,459455.9611970954,459455.9611970954,0.0,484199.11044928205,473933.9876099782,0.0,0.0,0.0,0.0,0.0,24992.285583443823,1,0,1499.5413533595215,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.25,traction,1.0,0.0,7.146019703036245,0.6373172899160906,427095.13172869344,454356.52311563137,461542.6026223519,461542.6026223519,0.0,486394.4666861386,476063.2105995031,0.0,0.0,0.0,0.0,0.0,24992.250433794,1,0,1499.5392441174656,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.3,traction,1.0,0.0,7.17788338140867,0.6372735674485064,429017.08946403785,456401.1590042956,463629.10522003204,463629.10522003204,0.0,488589.6781856701,478192.2919289975,0.0,0.0,0.0,0.0,0.0,24992.215286352068,1,0,1499.5371350066293,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.35,traction,1.0,0.0,7.209744864058619,0.6372296529989718,430938.91817222064,458445.657630022,465715.4683717302,465715.4683717302,0.0,490784.7442970019,480321.2309674387,0.0,0.0,0.0,0.0,0.0,24992.18014112847,1,0,1499.53502602764,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.4,traction,1.0,0.0,7.241604141389669,0.6371855466209908,432860.6172838726,460490.01838709856,467801.69145920605,467801.69145920605,0.0,492979.66436943214,482450.02708397305,0.0,0.0,0.0,0.0,0.0,24992.144998133637,1,0,1499.532917181124,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.45,traction,1.0,0.0,7.273461203808086,0.6371412483683514,434782.1862297778,462534.2406699764,469887.7738643863,469887.7738643863,0.0,495174.43775243213,484578.6796479166,0.0,0.0,0.0,0.0,0.0,24992.10985737802,1,0,1499.530808467708,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.5,traction,1.0,0.0,7.305316041722839,0.6370967582950549,436703.624440875,464578.32387327135,471973.71496936376,471973.71496936376,0.0,497369.0637956484,486707.1880287552,0.0,0.0,0.0,0.0,0.0,24992.074718872038,1,0,1499.528699888018,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.55,traction,1.0,0.0,7.337168645545602,0.6370520764552623,438624.9313482586,466622.26739176444,474059.51415639935,474059.51415639935,0.0,499563.54184890195,488835.5515961471,0.0,0.0,0.0,0.0,0.0,24992.039582626134,1,0,1499.5265914426811,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.6,traction,1.0,0.0,7.369019005690774,0.6370072029034368,440546.1063831785,468666.0706204027,476145.1708079229,476145.1708079229,0.0,501757.87126218894,490963.76971992117,0.0,0.0,0.0,0.0,0.0,24992.00444865073,1,0,1499.5244831323223,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
13.65,traction,1.0,0.0,7.400867112575488,0.6369621376942902,442467.14897704124,470709.73295429925,478230.68430653337,478230.68430653337,0.0,503952.051385683,493091.8417700804,0.0,0.0,0.0,0.0,0.0,24991.969316956252,1,0,1499.522374957568,1799.780873292532,0.0,0.0,0.0,0.0,0.0,0.35,667.83231428256,-0.0,667.83231428256,26760.0,0.0
