Case,Udc_peak_V,Pregen_peak_MW,Eregen_kJ,Esc_absorbed_kJ,SOC_initial,SOC_final,Fmechanical_peak_kN,Emechanical_kJ,StoppingTime_s,StoppingDistance_m,MaxSpeed_kmh,RecoveryRatio
A,1702.41575354555,0.486051644660751,544.832060285918,0,0.182222222222222,0.181975279054834,266.310000000151,68164.7217046307,23.29013,259.387574784779,79.3973009323928,0
B,1642.56306780624,1.49586144984175,7632.19199891471,7346.46952233074,0.182222222222222,0.973473315633044,266.309999999548,60690.65568684,23.29003,259.088764396886,79.3966639340034,0.962563510374923
C,1646.04577977579,0.477372615955017,732.061836654158,321.344561083041,0.944722222222222,0.979985339843305,266.309999999553,67817.9993107047,23.29004,259.377967148928,79.396373918626,0.438958220458159
