time,L2_3100.out_omega_axle,L2_3100.out_omega_gearbox,L2_3100.out_omega_shaft,L2_3100.out_omega_wheel,L2_3500.out_T_shaft,L2_3500.out_omega_shaft,L2_3600.out_motor_speed,L2_4100.out_U_ac_rms,L2_4100.out_f_ac,L2_4100.out_pantograph_state,L2_4200.out_I_ac_rms,L2_4200.out_U_ac_rms,L2_4200.out_f_ac,L2_4200.out_hv_breaker_command,L2_4200.out_hv_breaker_state,L2_4200.out_hv_system_fault,L2_4200.out_line_current,L2_4200.out_line_voltage,L2_4200.out_pantograph_command,L2_4500.out_I_ac_rms,L2_4500.out_U_sec_rms,L2_4500.out_f_sec,L2_4500.out_hv_system_fault,L2_5100.out_I_sec_rms,L2_5100.out_U_motor_ll_rms,L2_5100.out_brake_resistor_dissipated_power,L2_5100.out_dc_link_current,L2_5100.out_dc_link_voltage,L2_5100.out_f_motor_e,L2_5100.out_grid_acceptable_regenerative_power,L2_5100.out_grid_returned_power,L2_5100.out_regenerative_power_actual,L2_5100.out_traction_converter_fault,L2_5300.out_I_motor_rms,L2_5300.out_T_shaft,L2_5300.out_motor_phase_voltage,L2_5300.out_motor_speed,L2_5300.out_motor_torque_actual,L2_5300.out_omega_motor,L2_7100.out_main_reservoir_pressure,L2_7200.out_T_brake,L2_7200.out_brake_availability,L2_7200.out_brake_cylinder_pressure,L2_7200.out_dynamic_brake_force_request,L2_8100.out_achieved_dynamic_brake_force,L2_8100.out_available_dynamic_brake_force,L2_8100.out_brake_cylinder_pressure,L2_8100.out_brake_safety_loop_state,L2_8100.out_dcdc_enable_command,L2_8100.out_dynamic_brake_availability,L2_8100.out_emergency_brake_request,L2_8100.out_ess_contactor_command,L2_8100.out_ess_fault_reset_command,L2_8100.out_ess_power_request,L2_8100.out_ess_precharge_command,L2_8100.out_hv_safety_loop_state,L2_8100.out_main_reservoir_pressure,L2_8100.out_motor_torque_request,L2_8100.out_safety_brake_request,L2_8100.out_sanding_request,L2_8100.out_service_brake_request,L2_D100.out_emergency_brake_request,L2_D100.out_service_brake_request,L2_D100.out_traction_command,L2_D100.out_train_direction_command,L2_E100.out_external_safety_system_state,L2_E100.out_safety_brake_request,L2_X100.out_dcdc_actual_power,L2_X100.out_ess_absorbed_power,L2_X100.out_ess_availability,L2_X100.out_ess_available_charge_power,L2_X100.out_ess_available_discharge_power,L2_X100.out_ess_fault,L2_X100.out_super_cap_soc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,1800.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,1,0,0.0,0.0,0,600000.0,400000.0,0,0.35
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,57.73502691896258,0.0,0.0,0.0,900000.0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,0.0,0,0,0.0,0,0.0,0.03333333333333333,1,1,0,0.0,0.0,0,600000.0,400000.0,0,0.35
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,57.73502691896258,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,150.0,0,0,0.0,0,0.0,0.06666666666666667,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,2.3873241463784303,0.0,0.0,-0.0,0,0.0,0.0,57.73502691896258,0.0,0.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,300.0,0,0,0.0,0,0.0,0.10000000000000002,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,4.7746482927568605,0.0,0.0,-0.0,0,0.0,75.0,57.73502691896258,0.0,75.0,0.0,900000.0,0.0,1,0.0,0.0,-0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,450.0000000000001,0,0,0.0,0,0.0,0.13333333333333333,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.5,0.0,0.0,0.0,0.0,446.4,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,7.161972439135293,0.0,0.0,-0.0,0,0.0,187.5,57.73502691896258,0.0,187.5,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,600.0,0,0,0.0,0,0.0,0.16666666666666666,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.6000000000000001,0.0,0.0,0.0,0.0,1116.0,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,9.549296585513721,0.0,0.0,-0.0,0,0.0,318.7500000000001,57.73502691896258,0.0,318.7500000000001,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,750.0,0,0,0.0,0,0.0,0.20000000000000004,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.7000000000000001,0.0,0.0,0.0,0.0,1897.2000000000007,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,1800.0,11.93662073189215,0.0,0.0,-0.0,0,0.0,459.37500000000006,57.73502691896258,0.0,459.37500000000006,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,900.0000000000002,0,0,0.0,0,0.0,0.23333333333333336,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.8,0.002206666666666671,0.002206666666666671,0.002206666666666671,0.002206666666666671,2734.2000000000003,0.0,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,114.59155902616469,0.0,0.0,1800.0,14.323944878270586,0.0,0.0,-0.0,0,0.0,604.6875,57.73502691896258,0.0,604.6875,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,1050.0000000000002,0,0,0.0,0,0.0,0.26666666666666666,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
0.9,0.00906333331169166,0.00906333331169166,0.00906333331169166,0.00906333331169166,3599.1,0.013681333333333361,0.0,25000.0,50.0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,133.69015219719213,0.0,0.0,1800.0,16.711269024649017,0.0,0.0,-0.0,0,0.0,752.3437500000002,66.15946745061508,0.0,752.3437500000002,0.0,900000.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0.0,1,1,900000.0,1200.0,0,0,0.0,0,0.0,0.3,1,1,0,0.0,0.0,1,600000.0,400000.0,0,0.35
