time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,service_brake_request,traction_command
0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.03333333333333333
0.2,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.06666666666666667
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.10000000000000002
0.4,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.13333333333333333
0.5,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.16666666666666666
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.20000000000000004
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.23333333333333336
0.8,0.0010150666666666687,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.26666666666666666
0.9,0.004169133323378164,0.0,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.3
1.0,0.009533499822105964,12.326425129273364,0.0,0.0,0.0,0.0,667.83231428256,0.35,26760.0,0.0,0.0,0.3333333333333333
1.1,0.01714381561063139,58.98209508356573,0.0,0.0,0.0,12.840026176326422,667.83231428256,0.35,26760.0,0.0,0.0,0.3666666666666667
1.2000000000000002,0.027014782904570586,153.9496014088747,0.0,0.0,0.0,61.4396823787143,667.83231428256,0.35,26760.0,0.0,0.0,0.4000000000000001
1.3,0.03914717333474134,311.1170345397184,0.0,0.0,0.0,160.3641681342445,667.83231428256,0.35,26760.0,0.0,0.0,0.43333333333333335
1.4000000000000001,0.05353769471634236,544.2308763792455,0.0,0.0,0.0,324.0802443122067,667.83231428256,0.35,26760.0,0.0,0.0,0.46666666666666673
1.5,0.07018436870732125,866.8480420414143,0.0,0.0,0.0,566.9071628950475,667.83231428256,0.35,26760.0,0.0,0.0,0.5
1.6,0.0890860468484839,1292.436691781643,0.0,0.0,0.0,902.9667104598067,667.83231428256,0.35,26760.0,0.0,0.0,0.5333333333333333
1.7000000000000002,0.11024210164362451,1834.4749696384456,0.0,0.0,0.0,1346.2882206058782,667.83231428256,0.35,26760.0,0.0,0.0,0.5666666666666668
